system,method,sub_id,r2_mean,r2_A,r2_C
hc16,Vienna_MFE,0,0.2107408097578856,0.09243020222759739,0.3290514172881738
hc16,Vienna_BPP,0,0.24886241471435722,0.11730509901914445,0.38041973040957
hc16,Deigan_Turner,0,0.2623226484169271,0.18812979983890799,0.33651549699494626
hc16,Deigan_Turner,1,0.26848956055784273,0.12130252930303041,0.4156765918126551
hc16,Deigan_Turner,2,0.30749313773947046,0.22057260833283351,0.3944136671461074
hc16,Deigan_Turner,3,0.3024347313634226,0.19708156468609747,0.40778789804074767
hc16,Deigan_Andronescu,0,0.2700665676961001,0.16328720255767845,0.3768459328345218
hc16,Deigan_Andronescu,1,0.25871118473919985,0.0919813804134994,0.42544098906490035
hc16,Deigan_Andronescu,2,0.3457826709425992,0.23193380190859353,0.4596315399766049
hc16,Deigan_Andronescu,3,0.28183177145974503,0.18196091486877491,0.3817026280507152
hc16,MERGE_Turner,0,0.645353777246983,0.5041438773304808,0.7865636771634851
hc16,MERGE_Turner,1,0.6085854291834173,0.4702071941398655,0.7469636642269691
hc16,MERGE_Turner,2,0.6216637426808996,0.46532190323559347,0.7780055821262059
hc16,MERGE_Andronescu,0,0.7105575076719075,0.5713181168364168,0.8497968985073983
hc16,MERGE_Andronescu,1,0.6966405675870562,0.5616799092120212,0.8316012259620912
hc16,MERGE_Andronescu,2,0.6897748015359745,0.559779704713438,0.819769898358511
tetrahymena_ribozyme,Vienna_MFE,0,0.1509709043988472,0.06438668680139197,0.23755512199630244
tetrahymena_ribozyme,Vienna_BPP,0,0.24502112936668421,0.13752770252226665,0.3525145562111018
tetrahymena_ribozyme,Deigan_Turner,0,0.23579435134858687,0.115142448275925,0.3564462544212487
tetrahymena_ribozyme,Deigan_Turner,1,0.15803869049666297,0.1072625767093671,0.20881480428395885
tetrahymena_ribozyme,Deigan_Turner,2,0.26102634683422565,0.12847918925504967,0.39357350441340166
tetrahymena_ribozyme,Deigan_Turner,3,0.2088337083205483,0.06875523128061596,0.34891218536048063
tetrahymena_ribozyme,Deigan_Andronescu,0,0.22777567785229522,0.11590821725242267,0.33964313845216776
tetrahymena_ribozyme,Deigan_Andronescu,1,0.24209705355483305,0.10386016953784906,0.38033393757181705
tetrahymena_ribozyme,Deigan_Andronescu,2,0.2447469697762111,0.13231454860662,0.3571793909458022
tetrahymena_ribozyme,Deigan_Andronescu,3,0.2833355709060491,0.13704289596608682,0.4296282458460114
tetrahymena_ribozyme,MERGE_Turner,0,0.5025605142152353,0.4510773851553556,0.554043643275115
tetrahymena_ribozyme,MERGE_Turner,1,0.44291588203878596,0.3817242579980513,0.5041075060795206
tetrahymena_ribozyme,MERGE_Turner,2,0.5191717781071481,0.4741748127690789,0.5641687434452173
tetrahymena_ribozyme,MERGE_Andronescu,0,0.6611615906113439,0.6309376722040069,0.6913855090186809
tetrahymena_ribozyme,MERGE_Andronescu,1,0.6443885180093718,0.5830582220238872,0.7057188139948563
tetrahymena_ribozyme,MERGE_Andronescu,2,0.6171172232401779,0.5550561714709109,0.6791782750094449
HCV_IRES,Vienna_MFE,0,0.12663205576292663,0.06592635744752624,0.18733775407832703
HCV_IRES,Vienna_BPP,0,0.189341951231424,0.12623721990712897,0.25244668255571906
HCV_IRES,Deigan_Turner,0,0.03568070609887408,0.009098493699216635,0.062262918498531536
HCV_IRES,Deigan_Turner,1,0.1039680406315588,0.053462323776311015,0.15447375748680658
